item	wordnet_id	MESH	CUI
http://www.wikidata.org/entity/Q8	07542591-n	D006240	
http://www.wikidata.org/entity/Q23	11395413-n		
http://www.wikidata.org/entity/Q31	08868745-n	D001530	
http://www.wikidata.org/entity/Q45	09007158-n	D011174	
http://www.wikidata.org/entity/Q51	09220984-n		
http://www.wikidata.org/entity/Q58	05534035-n		
http://www.wikidata.org/entity/Q144	02086723-n	D004285	
http://www.wikidata.org/entity/Q147	02124950-n		
http://www.wikidata.org/entity/Q148	08740839-n		
http://www.wikidata.org/entity/Q155	08872733-n	D001938	
http://www.wikidata.org/entity/Q163	08905438-n		
http://www.wikidata.org/entity/Q177	07889783-n		
http://www.wikidata.org/entity/Q178	07879350-n		
http://www.wikidata.org/entity/Q183	08784821-n	D005858	
http://www.wikidata.org/entity/Q207	10895517-n		
http://www.wikidata.org/entity/Q233	08988759-n	D008319	
http://www.wikidata.org/entity/Q288	08958124-n		
http://www.wikidata.org/entity/Q298	08738314-n	D002677	
http://www.wikidata.org/entity/Q362	01314587-n	D047789	
http://www.wikidata.org/entity/Q398	08867086-n	D001445	
http://www.wikidata.org/entity/Q497	05545649-n		
http://www.wikidata.org/entity/Q501	10858080-n		
http://www.wikidata.org/entity/Q514	00647430-n	D000715	
http://www.wikidata.org/entity/Q524	09200780-n		
http://www.wikidata.org/entity/Q585	08782902-n		
http://www.wikidata.org/entity/Q586	08789970-n		
http://www.wikidata.org/entity/Q597	09008436-n		
http://www.wikidata.org/entity/Q619	10929476-n		
http://www.wikidata.org/entity/Q643	09419025-n		
http://www.wikidata.org/entity/Q648	08956249-n		
http://www.wikidata.org/entity/Q676	07086474-n		
http://www.wikidata.org/entity/Q686	09183568-n	D009514	
http://www.wikidata.org/entity/Q716	14683390-n	D014025	
http://www.wikidata.org/entity/Q722	14685199-n	D014639	C0042306
http://www.wikidata.org/entity/Q747	10930856-n		
http://www.wikidata.org/entity/Q764	13013628-n	D005658	
http://www.wikidata.org/entity/Q771	09117607-n	D008404	
http://www.wikidata.org/entity/Q801	08810400-n	D007557	
http://www.wikidata.org/entity/Q807	09055456-n		
http://www.wikidata.org/entity/Q819	08976533-n	D007812	
http://www.wikidata.org/entity/Q853	11351664-n		
http://www.wikidata.org/entity/Q859	11259261-n		
http://www.wikidata.org/entity/Q863	09043331-n	D013620	
http://www.wikidata.org/entity/Q869	09058927-n	D013785	
http://www.wikidata.org/entity/Q873	11342063-n		
http://www.wikidata.org/entity/Q878	09066665-n	D014479	
http://www.wikidata.org/entity/Q883	09032670-n		
http://www.wikidata.org/entity/Q898	09032935-n		
http://www.wikidata.org/entity/Q899	08920604-n		
http://www.wikidata.org/entity/Q901	10580065-n		
http://www.wikidata.org/entity/Q912	08987949-n	D008302	
http://www.wikidata.org/entity/Q916	08725731-n	D000810	
http://www.wikidata.org/entity/Q973	09398803-n		
http://www.wikidata.org/entity/Q997	11298488-n		
http://www.wikidata.org/entity/Q1044	09019241-n	D012807	
http://www.wikidata.org/entity/Q1049	09051827-n	D013397	
http://www.wikidata.org/entity/Q1057	13535517-n	D008660	
http://www.wikidata.org/entity/Q1149	11009606-n		
http://www.wikidata.org/entity/Q1151	10867249-n		
http://www.wikidata.org/entity/Q1183	08770807-n	D011647	
http://www.wikidata.org/entity/Q1204	09105071-n	D007087	
http://www.wikidata.org/entity/Q1269	07658542-n		
http://www.wikidata.org/entity/Q1297	09105928-n	D002641	
http://www.wikidata.org/entity/Q1317	10871048-n		
http://www.wikidata.org/entity/Q1469	09365843-n		
http://www.wikidata.org/entity/Q1487	10174440-n		
http://www.wikidata.org/entity/Q1489	08762069-n		
http://www.wikidata.org/entity/Q1494	09126551-n	D008922	
